collegeName,country,dateOfBirthUTC,firstName,heightFeet,heightInches,heightMeters,isActive,jersey,lastAffiliation,lastName,nbaDebutYear,personId,pos,teamId,temporaryDisplayName,weightKilograms,weightPounds,yearsPro
Villanova University,USA,1996-11-04,Eric,6,7,2.01,1,,Villanova University/USA,Paschall,,1629672,F,1610612744,"Paschall, Eric",115.2,254,0
,,,Patrick,-,-,,1,,,Patterson,,202335,F,1610612746,"Patterson, Patrick",,,
Creighton,USA,1997-06-14,Justin,7,0,2.13,1,,Creighton/USA,Patton,2017,1628383,C,1610612760,"Patton, Justin",109.3,241,2
Wake Forest,USA,1985-05-06,Chris,6,0,1.83,1,3,Wake Forest/USA,Paul,2005,101108,G,1610612760,"Paul, Chris",79.4,175,14
Murray State,USA,1994-08-08,Cameron,6,3,1.9,1,,Murray State/USA,Payne,2015,1626166,G,1610612761,"Payne, Cameron",86.2,190,4
Louisana-Lafayette,USA,1994-02-22,Elfrid,6,4,1.93,1,,Louisiana-Lafayette/USA,Payton,2014,203901,G,1610612752,"Payton, Elfrid",83.9,185,5
Iona,USA,1993-02-03,Norvel,6,11,2.11,1,,Iona/USA,Pelle,,203658,F,1610612755,"Pelle, Norvel",98.0,216,0
Gonzaga University,USA,1995-08-25,Josh,6,3,1.9,1,,Gonzaga University/USA,Perkins,,1629616,G,1610612766,"Perkins, Josh",86.2,190,0
West Virginia,USA,1993-08-10,Tarik,6,3,1.9,1,22,West Virginia/USA,Phillip,,1629341,G,1610612764,"Phillip, Tarik",88.5,195,1
University of San Diego,USA,1995-02-02,Isaiah,6,7,2.01,1,,San Diego/USA,Pineiro,,1629753,F,1610612758,"Pineiro, Isaiah",97.5,215,0
University of North Carolina at Cha,USA,1995-11-05,Theo,6,6,1.98,1,10,North Carolina/USA,Pinson,2018,1629033,G-F,1610612751,"Pinson, Theo",98.9,218,1
